Event start;Flight date;Event stop;Flight latitude;Flight longitude;Flight altitude (ft);Flight altitude (m);Station latitude;Station longitude;Station altitude (ft);Station altitude (ft);Distance (ft);Distance (m);Code HEX;Flight;Speed (NM);Speed (km/h);Heading;Station location;Source;FR24 link;FlightStats link;FlightAware link
2015-06-08 16:09:00;2015-06-08 16:09:00;2015-06-08 16:09:34;-23,611807;-46,66702;3525;1074;-32,543654;-46,659445;790;2591;933;284;E47BAB;GOL1532 ;166;307;327;P7IBIRAPUERA;DUO trigger code 4;http://fr24.com/GOL1532;http://www.flightstats.com/go/FlightStatus/flightStatusByFlight.do?flightNumber=GOL1532;http://flightaware.com/live/flight/GOL1532
2015-06-08 16:09:00;2015-06-08 16:09:00;2015-06-08 16:09:34;-23,611807;-46,66702;3525;1074;-32,543654;-46,659445;790;2591;933;284;E47BAB;GOL1532 ;166;307;327;P7IBIRAPUERA;DUO trigger code 4;http://fr24.com/GOL1532;http://www.flightstats.com/go/FlightStatus/flightStatusByFlight.do?flightNumber=GOL1532;http://flightaware.com/live/flight/GOL1532
2015-06-08 16:13:00;2015-06-08 16:13:00;2015-06-08 16:13:33;-23,590253;-46,542905;14100;4297;-32,543654;-46,659445;790;2591;11508;3507;E4833A;;364;674;250;P7IBIRAPUERA;DUO trigger code 4;;;
2015-06-08 16:13:00;2015-06-08 16:13:00;2015-06-08 16:13:33;-23,590253;-46,542905;14100;4297;-32,543654;-46,659445;790;2591;11508;3507;E4833A;;364;674;250;P7IBIRAPUERA;DUO trigger code 4;;;
2015-06-08 16:15:00;2015-06-08 16:15:00;2015-06-08 16:15:34;-23,601612;-46,676711;3875;1181;-43,765098;-46,659557;802;2631;1243;379;E48274;;177;327;311;P5IBIRAPUERA;DUO trigger code 6;;;
2015-06-08 16:16:00;2015-06-08 16:16:00;2015-06-08 16:16:34;-23,598028;-46,702207;4650;1417;-32,543654;-46,659445;790;2591;2058;627;E48274;TAM3015 ;260;481;247;P7IBIRAPUERA;DUO trigger code 4;http://fr24.com/TAM3015;http://www.flightstats.com/go/FlightStatus/flightStatusByFlight.do?flightNumber=TAM3015;http://flightaware.com/live/flight/TAM3015
2015-06-08 16:16:00;2015-06-08 16:16:00;2015-06-08 16:16:34;-23,598028;-46,702207;4650;1417;-32,543654;-46,659445;790;2591;2058;627;E48274;TAM3015 ;260;481;247;P7IBIRAPUERA;DUO trigger code 4;http://fr24.com/TAM3015;http://www.flightstats.com/go/FlightStatus/flightStatusByFlight.do?flightNumber=TAM3015;http://flightaware.com/live/flight/TAM3015
2015-06-08 16:17:00;2015-06-08 16:17:16;2015-06-08 16:17:35;-23,617207;-46,663133;3200;975;-32,543654;-46,659445;790;2591;608;185;E48F01;;156;288;327;P7IBIRAPUERA;DUO trigger code 4;;;
2015-06-08 16:17:00;2015-06-08 16:17:16;2015-06-08 16:17:35;-23,617207;-46,663133;3200;975;-32,543654;-46,659445;790;2591;608;185;E48F01;;156;288;327;P7IBIRAPUERA;DUO trigger code 4;;;
2015-06-08 16:17:00;2015-06-08 16:17:16;2015-06-08 16:17:34;-23,617207;-46,663133;3200;975;-32,765873;-46,659002;782;2565;634;193;E48F01;;156;288;327;P3IBIRAPUERA;DUO trigger code 1;;;
